A2M183CETUMR96_speedup,A2M183CETUMR96_rubble,A2M183CETUMR96_triage_red,A2M183CETUMR96_triage_yellow,A2M183CETUMR96_triage_green,A2M183CETUMR96_effort,A2M183CETUMR96_timestamp,A2M183CETUMR96_x,A2M183CETUMR96_y,A2M183CETUMR96_event,A33VGSEJ44ORMF_speedup,A33VGSEJ44ORMF_rubble,A33VGSEJ44ORMF_triage_red,A33VGSEJ44ORMF_triage_yellow,A33VGSEJ44ORMF_triage_green,A33VGSEJ44ORMF_effort,A33VGSEJ44ORMF_timestamp,A33VGSEJ44ORMF_x,A33VGSEJ44ORMF_y,A33VGSEJ44ORMF_event,A2JDYN6QM8M5UN_speedup,A2JDYN6QM8M5UN_rubble,A2JDYN6QM8M5UN_triage_red,A2JDYN6QM8M5UN_triage_yellow,A2JDYN6QM8M5UN_triage_green,A2JDYN6QM8M5UN_effort,A2JDYN6QM8M5UN_timestamp,A2JDYN6QM8M5UN_x,A2JDYN6QM8M5UN_y,A2JDYN6QM8M5UN_event,A1WH32GYQOHIRQ_speedup,A1WH32GYQOHIRQ_rubble,A1WH32GYQOHIRQ_triage_red,A1WH32GYQOHIRQ_triage_yellow,A1WH32GYQOHIRQ_triage_green,A1WH32GYQOHIRQ_effort,A1WH32GYQOHIRQ_timestamp,A1WH32GYQOHIRQ_x,A1WH32GYQOHIRQ_y,A1WH32GYQOHIRQ_event,publish,A2M183CETUMR96_triage,A2M183CETUMR96_exploration,A2M183CETUMR96_move,A33VGSEJ44ORMF_triage,A33VGSEJ44ORMF_exploration,A33VGSEJ44ORMF_move,A2JDYN6QM8M5UN_triage,A2JDYN6QM8M5UN_exploration,A2JDYN6QM8M5UN_move,A1WH32GYQOHIRQ_triage,A1WH32GYQOHIRQ_exploration,A1WH32GYQOHIRQ_move
0,0,0,0,0,2,1655837160.707095,12,6,,0,0,0,0,0,4,1655837160.898058,16,4,,0,0,0,0,0,1,1655837160.615179,11,4,,0,0,0,0,0,0,1655837160.642526,12,4,,False,,,,,,,,,,,,
0,0,0,0,0,3,1655837161.600426,13,6,,0,0,0,0,0,4,1655837160.898058,16,4,,0,0,0,0,0,2,1655837160.615179,11,5,,0,0,0,0,0,0,1655837160.642526,12,4,,False,,,,,,,,,,,,
0,0,0,0,0,3,1655837161.600426,13,6,,0,0,0,0,0,4,1655837160.898058,16,4,,0,0,0,0,0,2,1655837161.649798,11,5,,0,0,0,0,0,0,1655837160.642526,12,4,,False,,,,,,,,,,,,
0,0,0,0,0,3,1655837161.600426,13,6,,0,0,0,0,0,4,1655837160.898058,16,4,,0,0,0,0,0,2,1655837161.649798,11,5,,0,0,0,0,0,1,1655837161.879344,12,5,,False,,,,,,,,,,,,
0,0,0,0,0,4,1655837161.600426,14,6,,0,0,0,0,0,4,1655837162.004141,16,4,,0,0,0,0,0,2,1655837161.649798,11,5,,0,0,0,0,0,1,1655837161.879344,12,5,,False,,,,,,,,,,,,
0,0,0,0,0,4,1655837161.600426,14,6,,0,0,0,0,0,4,1655837162.004141,16,4,,0,0,0,0,0,2,1655837162.591211,11,5,,0,0,0,0,0,2,1655837161.879344,12,6,,True,0,39,0.8,0,20,0.8,0,6,0.4,0,0,0.4
0,0,0,0,0,0,1655837162.620927,14,6,,0,0,0,0,0,0,1655837162.004141,16,4,,0,0,0,0,0,0,1655837162.591211,11,5,,0,0,0,0,0,0,1655837161.879344,12,6,,False,,,,,,,,,,,,
0,0,0,0,0,0,1655837162.620927,14,6,,0,0,0,0,0,0,1655837162.004141,16,4,,0,0,0,0,0,0,1655837162.591211,11,5,,0,0,0,0,0,0,1655837162.741115,12,6,,False,,,,,,,,,,,,
0,0,0,0,0,1,1655837162.620927,15,6,,0,0,0,0,0,0,1655837163.031574,16,4,,0,0,0,0,0,1,1655837162.591211,11,4,,0,0,0,0,0,0,1655837162.741115,12,6,,False,,,,,,,,,,,,
0,0,0,0,0,2,1655837163.649968,16,6,,0,0,0,0,0,1,1655837163.031574,16,5,,0,0,0,0,0,3,1655837162.591211,13,4,,0,0,0,0,0,0,1655837162.741115,12,6,,False,,,,,,,,,,,,
